id,name,name_en_us,unit,app,action,sum_for_total_actions,sum_days_of_active,sum_app_actions
copilot_actions_taken_in_copilot_chat_work,Copilot_actions_taken_in_Copilot_chat__work_,Copilot actions taken in Copilot chat (work),Actions,Chat_Work,/,No,No,Yes
copilot_actions_taken_in_excel,Copilot_actions_taken_in_Excel,Copilot actions taken in Excel,Actions,Excel,/,No,No,Yes
copilot_actions_taken_in_outlook,Copilot_actions_taken_in_Outlook,Copilot actions taken in Outlook,Actions,Outlook,/,No,No,Yes
copilot_actions_taken_in_powerpoint,Copilot_actions_taken_in_Powerpoint,Copilot actions taken in PowerPoint,Actions,PowerPoint,/,No,No,Yes
copilot_actions_taken_in_teams,Copilot_actions_taken_in_Teams,Copilot actions taken in Teams,Actions,Teams,/,No,No,Yes
copilot_actions_taken_in_word,Copilot_actions_taken_in_Word,Copilot actions taken in Word,Actions,Word,/,No,No,Yes
total_copilot_actions_taken,Total_Copilot_actions_taken,Total Copilot actions taken,Actions,General,/,No,No,No
intelligent_recap_actions_taken,Intelligent_recap_actions_taken,Intelligent recap actions taken,Actions,Teams,summarize,Yes,No,No
chat_copilot_in_excel_prompts_submitted,Chat__Copilot_in_Excel__prompts_submitted,Chat (Copilot in Excel) prompts submitted,Prompts,Excel,prompts,Yes,No,No
chat_copilot_in_powerpoint_prompts_submitted,Chat__Copilot_in_PowerPoint__prompts_submitted,Chat (Copilot in PowerPoint) prompts submitted,Prompts,PowerPoint,prompts,Yes,No,No
chat_copilot_in_word_prompts_submitted,Chat__Copilot_in_Word__prompts_submitted,Chat (Copilot in Word) prompts submitted,Prompts,Word,prompts,Yes,No,No
copilot_chat_web_prompts_submitted,Copilot_Chat__web__prompts_submitted,Copilot Chat (web) prompts submitted,Prompts,Chat_Web,prompts,Yes,No,No
copilot_chat_work_prompts_submitted,Copilot_chat__work__prompts_submitted,Copilot chat (work) prompts submitted,Prompts,Chat_Work,prompts,Yes,No,No
copilot_chat_work_prompts_submitted_in_outlook,Copilot_Chat__work__prompts_submitted_in_Outlook,Copilot chat (work) prompts submitted in Outlook,Prompts,Outlook,prompts,No,No,No
copilot_chat_work_prompts_submitted_in_teams,Copilot_Chat__work__prompts_submitted_in_Teams,Copilot chat (work) prompts submitted in Teams,Prompts,Teams,prompts,No,No,No
copilot_chat_work_enabled_days,Copilot_chat__work__enabled_days,Copilot chat (work) enabled days,Days,Chat_Work,/,No,No,No
copilot_enabled_days_for_intelligent_search,Copilot_enabled_days_for_Intelligent_Search,Copilot enabled days for Intelligent Search,Days,,/,No,No,No
copilot_enabled_days_for_power_platform_connectors,Copilot_enabled_days_for_Power_Platform_connectors,Copilot enabled days for Power Platform connectors,Days,PowerPlatform,/,No,No,No
copilot_enabled_days_for_productivity_app,Copilot_enabled_days_for_Productivity_App,Copilot enabled days for Productivity App,Days,,/,No,No,No
copilot_enabled_days_for_teams,Copilot_enabled_days_for_Teams,Copilot enabled days for Teams,Days,Teams,/,No,No,No
days_of_active_copilot_chat_web_usage,Days_of_active_Copilot_Chat__web__usage,Days of active Copilot Chat (web) usage,Days,Chat_Web,/,No,Yes,No
days_of_active_copilot_chat_work_usage,Days_of_active_Copilot_chat__work__usage,Days of active Copilot chat (work) usage,Days,Chat_Work,/,No,Yes,No
days_of_active_copilot_usage_in_excel,Days_of_active_Copilot_usage_in_Excel,Days of active Copilot usage in Excel,Days,Excel,/,No,Yes,No
days_of_active_copilot_usage_in_loop,Days_of_active_Copilot_usage_in_Loop,Days of active Copilot usage in Loop,Days,Loop,/,No,Yes,No
days_of_active_copilot_usage_in_onenote,Days_of_active_Copilot_usage_in_OneNote,Days of active Copilot usage in OneNote,Days,OneNote,/,No,Yes,No
days_of_active_copilot_usage_in_outlook,Days_of_active_Copilot_usage_in_Outlook,Days of active Copilot usage in Outlook,Days,Outlook,/,No,Yes,No
days_of_active_copilot_usage_in_powerpoint,Days_of_active_Copilot_usage_in_Powerpoint,Days of active Copilot usage in PowerPoint,Days,PowerPoint,/,No,Yes,No
days_of_active_copilot_usage_in_teams,Days_of_active_Copilot_usage_in_Teams,Days of active Copilot usage in Teams,Days,Teams,/,No,Yes,No
days_of_active_copilot_usage_in_word,Days_of_active_Copilot_usage_in_Word,Days of active Copilot usage in Word,Days,Word,/,No,Yes,No
total_copilot_active_days,Total_Copilot_active_days,Total Copilot active days,Days,General,/,No,No,No
total_copilot_enabled_days,Total_Copilot_enabled_days,Total Copilot enabled days,Days,General,/,No,No,No
copilot_assisted_hours,Copilot_assisted_hours,Copilot assisted hours,Hours,General,/,No,No,No
meeting_hours_summarized_by_copilot_in_teams,Meeting_hours_summarized_by_Copilot_in_Teams,Meeting hours summarized by Copilot in Teams,Hours,Teams,summarize,No,No,No
compose_chat_message_actions_taken_using_copilot_in_teams,Compose_chat_message_actions_taken_using_Copilot_in_Teams,Compose chat message actions taken using Copilot in Teams,Actions,Teams,generate,Yes,No,No
create_excel_formula_actions_taken_using_copilot,Create_Excel_formula_actions_taken_using_Copilot,Create Excel formula actions taken using Copilot,Actions,Excel,generate,Yes,No,No
create_presentation_actions_taken_using_copilot,Create_presentation_actions_taken_using_Copilot,Create presentation actions taken using Copilot,Actions,PowerPoint,generate,Yes,No,No
draft_word_document_actions_taken_using_copilot,Draft_Word_document_actions_taken_using_Copilot,Draft Word document actions taken using Copilot,Actions,Word,generate,Yes,No,No
email_coaching_actions_taken_using_copilot,Email_coaching_actions_taken_using_Copilot,Email coaching actions taken using Copilot,Actions,Outlook,generate,Yes,No,No
excel_analysis_actions_taken_using_copilot,Excel_analysis_actions_taken_using_Copilot,Excel analysis actions taken using Copilot,Actions,Excel,generate,Yes,No,No
excel_formatting_actions_taken_using_copilot,Excel_formatting_actions_taken_using_Copilot,Excel formatting actions taken using Copilot,Actions,Excel,generate,Yes,No,No
generate_email_draft_actions_taken_using_copilot_in_outlook,Generate_email_draft_actions_taken_using_Copilot_in_Outlook,Generate email draft actions taken using Copilot in Outlook,Actions,Outlook,generate,Yes,No,No
rewrite_text_actions_taken_using_copilot_in_word,Rewrite_text_actions_taken_using_Copilot_in_Word,Rewrite text actions taken using Copilot in Word,Actions,Word,generate,Yes,No,No
summarize_chat_actions_taken_using_copilot_in_teams,Summarize_chat_actions_taken_using_Copilot_in_Teams,Summarize chat actions taken using Copilot in Teams,Actions,Teams,summarize,Yes,No,No
summarize_email_thread_actions_taken_using_copilot_in_outlook,Summarize_email_thread_actions_taken_using_Copilot_in_Outlook,Summarize email thread actions taken using Copilot in Outlook,Actions,Outlook,summarize,Yes,No,No
summarize_meeting_actions_taken_using_copilot_in_teams,Summarize_meeting_actions_taken_using_Copilot_in_Teams,Summarize meeting actions taken using Copilot in Teams,Actions,Teams,summarize,Yes,No,No
summarize_presentation_actions_taken_using_copilot_in_powerpoint,Summarize_presentation_actions_taken_using_Copilot_in_PowerPoint,Summarize presentation actions taken using Copilot in PowerPoint,Actions,PowerPoint,summarize,Yes,No,No
summarize_word_document_actions_taken_using_copilot_in_word,Summarize_Word_document_actions_taken_using_Copilot_in_Word,Summarize Word document actions taken using Copilot in Word,Actions,Word,summarize,Yes,No,No
total_chat_conversations_summarized_by_copilot_in_teams,Total_chat_conversations_summarized_by_Copilot_in_Teams,Total chat conversations summarized by Copilot in Teams,Actions,Teams,summarize,No,No,No
